"sppid","species","scinam","rank","spp_code","tsnid","ndet","nsite","map.det","useavail.north","veghf.north","useavail.south","soilhf.south","map.pred","origin","nonnative","comments"
"Aquilegia","Columbines","Aquilegia","Genus","Aquilegia",99004774,9,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Aquilegia.brevistyla","Blue Columbine","Aquilegia brevistyla","Species","AquilegiaBrevistyla",99004775,43,23,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"Native",FALSE,NA
"Aquilegia.flavescens","Yellow Columbine","Aquilegia flavescens","Species","AquilegiaFlavescens",99004776,4,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Aquilegia.formosa","Sitka Columbine","Aquilegia formosa","Species","AquilegiaFormosa",99004777,3,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Arabidopsis.lyrata","Lyre Leaved Rock Cress","Arabidopsis lyrata","Species","ArabidopsisLyrata",99000248,13,9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Arabis","Rockcresses","Arabis","Genus","Arabis",99002009,7,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Boechera.grahamii.collinsii.retrofracta.pedunculocarpa","Reflexed Rock Cress","Boechera grahamii/collinsii/retrofracta/pedunculocarpa","Species","ArabisHolboellii",99002011,76,37,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Arabis.pycnocarpa","Rock Cress","Arabis pycnocarpa","Species","ArabisPycnocarpa",99000274,37,22,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Aralia.nudicaulis","Wild Sarsaparilla","Aralia nudicaulis","Species","AraliaNudicaulis",99004697,1230,405,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Arceuthobium.americanum","Dwarf Mistletoe","Arceuthobium americanum","Species","ArceuthobiumAmericanum",99004808,8,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
