"sppid","species","scinam","rank","ndet","nsite","map.det","useavail.north","veghf.north","useavail.south","soilhf.south","map.pred","comments","tsnid"
"EpidamaeusSp6DEW",NA,"Epidamaeus sp. 6 DEW","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99000084
"EpidamaeusSp7DEW",NA,"Epidamaeus sp. 7 DEW","Species",23,15,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,99000238
"EpidamaeusSp8DEW",NA,"Epidamaeus sp. 8 DEW","Species",23,19,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,99001378
"EpidamaeusSp9DEW",NA,"Epidamaeus sp. 9 DEW","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99001371
"EpidamaeusTritylos",NA,"Epidamaeus tritylos","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99000142
"EporibatulaSp1DEW",NA,"Eporibatula sp. 1 DEW","Species",4,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99001369
"EremaeusTranslamellatus",NA,"Eremaeus translamellatus","Species",197,125,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,738565
"EremaeusWalteri",NA,"Eremaeus walteri","Species",2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,738567
"EueremaeusAridulus",NA,"Eueremaeus aridulus","Species",4,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,738570
"EueremaeusChiatous",NA,"Eueremaeus chiatous","Species",2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,738574
"EueremaeusFoveolatus",NA,"Eueremaeus foveolatus","Species",12,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,738580
"EueremaeusMarshalli",NA,"Eueremaeus marshalli","Species",124,100,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,738586
"EueremaeusMarshalliEueremaeusQuadrilamellatus",NA,"Eueremaeus marshalli / Eueremaeus quadrilamellatus","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99003038
"EueremaeusMasinasin",NA,"Eueremaeus masinasin","Species",311,161,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,738587
"EueremaeusQuadrilamellatus",NA,"Eueremaeus quadrilamellatus","Species",154,102,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,738594
"EueremaeusTetrosus",NA,"Eueremaeus tetrosus","Species",39,25,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,738597
"EupelopsSeptentrionalis",NA,"Eupelops septentrionalis","Species",37,29,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,741461
"EupelopsSp2DEW",NA,"Eupelops sp. 2 DEW","Species",4,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000019
"EupelopsSp3DEW",NA,"Eupelops sp. 3 DEW","Species",30,17,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,99000085
"EuphthiracarusFlavus",NA,"Euphthiracarus flavus","Species",389,189,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,99000205
"EuphthiracarusFulvus",NA,"Euphthiracarus fulvus","Species",2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,735835
"EupterotegaeusRhamphosus",NA,"Eupterotegaeus rhamphosus","Species",6,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,737830
"EupterotegaeusRostratus",NA,"Eupterotegaeus rostratus","Species",13,8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000086
"ExochocepheusEremitus",NA,"Exochocepheus eremitus","Species",10,9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,741323
"FuscozetesFuscipes",NA,"Fuscozetes fuscipes","Species",116,70,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,741994
"GalumnaSp1DEW",NA,"Galumna sp. 1 DEW","Species",86,64,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,99000021
"GalumnaSp2DEW",NA,"Galumna sp. 2 DEW","Species",14,13,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,99000136
"GalumnaSp3DEW",NA,"Galumna sp. 3 DEW","Species",6,4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,99000236
"GalumnaSp4DEW",NA,"Galumna sp. 4 DEW","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99002666
"GemmazetesSp1DEW",NA,"Gemmazetes sp. 1 DEW","Species",2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99000023
"GustaviaSp1DEW",NA,"Gustavia sp. 1 DEW","Species",39,25,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,99000024
"GymnodamaeusOrnatus",NA,"Gymnodamaeus ornatus","Species",204,135,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,99000178
"GymnodamaeusSp1DEW",NA,"Gymnodamaeus sp. 1 DEW","Species",3,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,99000025
"HafenferrefiaSp1DEW",NA,"Hafenferrefia sp. 1 DEW","Species",28,23,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,99000026
"HafenferrefiaSp2DEW",NA,"Hafenferrefia sp. 2 DEW","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99001372
"HemileiusHaydeni",NA,"Hemileius haydeni","Species",16,13,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,742717
"HeminothrusLongisetosus",NA,"Heminothrus longisetosus","Species",174,139,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,736975
"HeminothrusTargionii",NA,"Heminothrus targionii","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,736982
"HeminothrusThori",NA,"Heminothrus thori","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,736989
"HeminothrusYamasakii",NA,"Heminothrus yamasakii","Species",7,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,736990
"HermaniellaRobusta",NA,"Hermaniella robusta","Species",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,99005342
"HermanniellaRobusta",NA,"Hermanniella robusta","Species",164,131,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,737235
