"sppid","species","scinam","rank","spp_code","tsnid","ndet","nsite","map.det","useavail.north","veghf.north","useavail.south","soilhf.south","map.pred","comments"
"Cephalozia.pleniceps",NA,"Cephalozia pleniceps","Species","CephaloziaPleniceps",99001152,87,71,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
"Cephaloziella.All",NA,"Cephaloziella All","Genus","Cephaloziella",99000559,643,381,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Ceratodon.purpureus",NA,"Ceratodon purpureus","Species","CeratodonPurpureus",99000320,1772,927,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA
"Chiloscyphus.pallescens.polyanthos",NA,"Chiloscyphus pallescens/polyanthos","Genus","Chiloscyphus",99000561,141,104,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Cinclidium.stygium",NA,"Cinclidium stygium","Species","CinclidiumStygium",99001162,13,10,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Cladopodiella.fluitans",NA,"Cladopodiella fluitans","Species","CladopodiellaFluitans",99001164,15,10,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Climacium.dendroides",NA,"Climacium dendroides","Species","ClimaciumDendroides",99001166,242,189,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Conardia.compacta",NA,"Conardia compacta","Species","ConardiaCompacta",99001167,10,8,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA
"Conocephalum.conicum",NA,"Conocephalum conicum","Species","ConocephalumConicum",99001168,3,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Cratoneuron.filicinum",NA,"Cratoneuron filicinum","Species","CratoneuronFilicinum",99001172,7,7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Cynodontium.schisti",NA,"Cynodontium schisti","Species","CynodontiumSchisti",99001176,3,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Cynodontium.strumiferum",NA,"Cynodontium strumiferum","Species","CynodontiumStrumiferum",99000338,25,12,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Cynodontium.tenellum",NA,"Cynodontium tenellum","Species","CynodontiumTenellum",99001177,3,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Cyrtomnium.hymenophylloides",NA,"Cyrtomnium hymenophylloides","Species","CyrtomniumHymenophylloides",99001178,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Dichodontium.pellucidum",NA,"Dichodontium pellucidum","Species","DichodontiumPellucidum",99000340,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Dicranella.cerviculata",NA,"Dicranella cerviculata","Species","DicranellaCerviculata",99001189,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Dicranella.grevilleana",NA,"Dicranella grevilleana","Species","DicranellaGrevilleana",99001191,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Dicranella.heteromalla",NA,"Dicranella heteromalla","Species","DicranellaHeteromalla",99001192,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Dicranella.palustris",NA,"Dicranella palustris","Species","DicranellaPalustris",99001193,3,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Dicranella.schreberiana",NA,"Dicranella schreberiana","Species","DicranellaSchreberiana",99001194,19,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
